	start	end	bpm
0	128640	199362	75.16442217350453
1	266080	545172	49.95882820111323
2	592960	957500	40.31622603033429
3	1307520	1422496	184.55192350812183
4	1998560	2080332	56.074766355140184
5	2201440	2797132	49.05102301699391
6	2837280	3520647	45.58869102091992
7	3568320	3644869	157.17092337917487
8	3678720	4110706	48.381629454977926
9	5460000	6133525	47.43067965067374
10	6216480	6371690	89.75244033145573
11	6479680	6573972	72.8864633893572
12	6607200	7333368	41.99387025196855
13	7365760	7534600	49.105361691679704
14	7569600	7954063	47.85202383704704
15	8221440	8387584	46.4486162183085
16	8589440	8708213	66.1521499448732
17	8749920	8867690	87.39985433357612
18	9109440	9585328	71.27166571107102
19	9627680	9762010	64.06235402458393
20	9840320	10076975	41.51530877010898
21	10111840	10203296	61.65386492665758
22	11864160	12015231	83.9586503646954
23	12287040	12677893	91.9015834225567
24	12763520	12939559	60.39337602935319
25	14600000	14707216	44.55707482803754
26	14748960	15324556	45.393706786626716
27	15396320	15439544	87.08272859216257
28	15713600	16080594	46.09825077690439
29	16214400	16316031	40.823269263480185
30	16533440	16909447	70.67344229189878
31	16942240	17079624	47.65687053216839
32	17124480	17213500	104.3024771838331
33	17261280	17612607	85.41453064300428
34	17692480	17779847	73.30482590103848
35	17998080	18266247	43.62763810874189
36	18356480	18669132	43.46566212691973
37	18827520	18950522	56.24560581204593
38	18983840	19140213	63.15789473684211
39	19173440	19634797	39.39564500152907
40	21319360	21574103	53.00443694454726
41	21840160	22091978	151.32408575031525
42	22406880	22554876	57.516410480386284
43	24117920	24180476	59.33837709538644
44	24335520	24687021	45.89358539620219
45	24945920	25333525	72.11621927949744
46	25743360	26416909	46.60695487000164
47	27094720	27315216	47.77165150580227
48	28528640	28589568	47.05882352941177
